# code_point	page_hex
0x2010	20
0x2015	20
0x2018	20
0x2019	20
0x201C	20
0x201D	20
0x2020	20
0x2021	20
0x2025	20
0x2026	20
0x2030	20
0x2032	20
0x2033	20
0x203B	20
0x20AC	20
0x2103	21
0x2116	21
0x2121	21
0x212B	21
0x2150	21
0x2151	21
0x2152	21
0x2153	21
0x2154	21
0x2155	21
0x2156	21
0x2157	21
0x2158	21
0x2159	21
0x215A	21
0x215B	21
0x215C	21
0x215D	21
0x215E	21
0x215F	21
0x2160	21
0x2161	21
0x2162	21
0x2163	21
0x2164	21
0x2165	21
0x2166	21
0x2167	21
0x2168	21
0x2169	21
0x216A	21
0x216B	21
0x216C	21
0x216D	21
0x216E	21
0x216F	21
0x2170	21
0x2171	21
0x2172	21
0x2173	21
0x2174	21
0x2175	21
0x2176	21
0x2177	21
0x2178	21
0x2179	21
0x217A	21
0x217B	21
0x217C	21
0x217D	21
0x217E	21
0x217F	21
0x2180	21
0x2181	21
0x2182	21
0x2183	21
0x2184	21
0x2185	21
0x2186	21
0x2187	21
0x2188	21
0x2189	21
0x218A	21
0x218B	21
0x218C	21
0x218D	21
0x218E	21
0x218F	21
0x2190	21
0x2191	21
0x2192	21
0x2193	21
0x21D2	21
0x21D4	21
0x2200	22
0x2202	22
0x2203	22
0x2207	22
0x2208	22
0x220B	22
0x2211	22
0x221A	22
0x221D	22
0x221E	22
0x221F	22
0x2220	22
0x2225	22
0x2227	22
0x2228	22
0x2229	22
0x222A	22
0x222B	22
0x222C	22
0x222E	22
0x2234	22
0x2235	22
0x223D	22
0x2252	22
0x2260	22
0x2261	22
0x2266	22
0x2267	22
0x226A	22
0x226B	22
0x2282	22
0x2283	22
0x2286	22
0x2287	22
0x22A5	22
0x22BF	22
0x2312	23
0x2460	24
0x2461	24
0x2462	24
0x2463	24
0x2464	24
0x2465	24
0x2466	24
0x2467	24
0x2468	24
0x2469	24
0x246A	24
0x246B	24
0x246C	24
0x246D	24
0x246E	24
0x246F	24
0x2470	24
0x2471	24
0x2472	24
0x2473	24
0x2474	24
0x2475	24
0x2476	24
0x2477	24
0x2478	24
0x2479	24
0x247A	24
0x247B	24
0x247C	24
0x247D	24
0x247E	24
0x247F	24
0x2480	24
0x2481	24
0x2482	24
0x2483	24
0x2484	24
0x2485	24
0x2486	24
0x2487	24
0x2488	24
0x2489	24
0x248A	24
0x248B	24
0x248C	24
0x248D	24
0x248E	24
0x248F	24
0x2490	24
0x2491	24
0x2492	24
0x2493	24
0x2494	24
0x2495	24
0x2496	24
0x2497	24
0x2498	24
0x2499	24
0x249A	24
0x249B	24
0x249C	24
0x249D	24
0x249E	24
0x249F	24
0x24A0	24
0x24A1	24
0x24A2	24
0x24A3	24
0x24A4	24
0x24A5	24
0x24A6	24
0x24A7	24
0x24A8	24
0x24A9	24
0x24AA	24
0x24AB	24
0x24AC	24
0x24AD	24
0x24AE	24
0x24AF	24
0x24B0	24
0x24B1	24
0x24B2	24
0x24B3	24
0x24B4	24
0x24B5	24
0x24B6	24
0x24B7	24
0x24B8	24
0x24B9	24
0x24BA	24
0x24BB	24
0x24BC	24
0x24BD	24
0x24BE	24
0x24BF	24
0x24C0	24
0x24C1	24
0x24C2	24
0x24C3	24
0x24C4	24
0x24C5	24
0x24C6	24
0x24C7	24
0x24C8	24
0x24C9	24
0x24CA	24
0x24CB	24
0x24CC	24
0x24CD	24
0x24CE	24
0x24CF	24
0x24D0	24
0x24D1	24
0x24D2	24
0x24D3	24
0x24D4	24
0x24D5	24
0x24D6	24
0x24D7	24
0x24D8	24
0x24D9	24
0x24DA	24
0x24DB	24
0x24DC	24
0x24DD	24
0x24DE	24
0x24DF	24
0x24E0	24
0x24E1	24
0x24E2	24
0x24E3	24
0x24E4	24
0x24E5	24
0x24E6	24
0x24E7	24
0x24E8	24
0x24E9	24
0x24EA	24
0x24EB	24
0x24EC	24
0x24ED	24
0x24EE	24
0x24EF	24
0x24F0	24
0x24F1	24
0x24F2	24
0x24F3	24
0x24F4	24
0x24F5	24
0x24F6	24
0x24F7	24
0x24F8	24
0x24F9	24
0x24FA	24
0x24FB	24
0x24FC	24
0x24FD	24
0x24FE	24
0x24FF	24
0x2500	25
0x2501	25
0x2502	25
0x2503	25
0x250C	25
0x250F	25
0x2510	25
0x2513	25
0x2514	25
0x2517	25
0x2518	25
0x251B	25
0x251C	25
0x251D	25
0x2520	25
0x2523	25
0x2524	25
0x2525	25
0x2528	25
0x252B	25
0x252C	25
0x252F	25
0x2530	25
0x2533	25
0x2534	25
0x2537	25
0x2538	25
0x253B	25
0x253C	25
0x253F	25
0x2542	25
0x254B	25
0x25A0	25
0x25A1	25
0x25B2	25
0x25B3	25
0x25BC	25
0x25BD	25
0x25C6	25
0x25C7	25
0x25CB	25
0x25CE	25
0x25CF	25
0x25EF	25
0x2605	26
0x2606	26
0x2640	26
0x2642	26
0x266A	26
0x266D	26
0x266F	26
0x3000	30
0x3001	30
0x3002	30
0x3003	30
0x3005	30
0x3006	30
0x3007	30
0x3008	30
0x3009	30
0x300A	30
0x300B	30
0x300C	30
0x300D	30
0x300E	30
0x300F	30
0x3010	30
0x3011	30
0x3012	30
0x3013	30
0x3014	30
0x3015	30
0x301D	30
0x301F	30
0x3041	30
0x3042	30
0x3043	30
0x3044	30
0x3045	30
0x3046	30
0x3047	30
0x3048	30
0x3049	30
0x304A	30
0x304B	30
0x304C	30
0x304D	30
0x304E	30
0x304F	30
0x3050	30
0x3051	30
0x3052	30
0x3053	30
0x3054	30
0x3055	30
0x3056	30
0x3057	30
0x3058	30
0x3059	30
0x305A	30
0x305B	30
0x305C	30
0x305D	30
0x305E	30
0x305F	30
0x3060	30
0x3061	30
0x3062	30
0x3063	30
0x3064	30
0x3065	30
0x3066	30
0x3067	30
0x3068	30
0x3069	30
0x306A	30
0x306B	30
0x306C	30
0x306D	30
0x306E	30
0x306F	30
0x3070	30
0x3071	30
0x3072	30
0x3073	30
0x3074	30
0x3075	30
0x3076	30
0x3077	30
0x3078	30
0x3079	30
0x307A	30
0x307B	30
0x307C	30
0x307D	30
0x307E	30
0x307F	30
0x3080	30
0x3081	30
0x3082	30
0x3083	30
0x3084	30
0x3085	30
0x3086	30
0x3087	30
0x3088	30
0x3089	30
0x308A	30
0x308B	30
0x308C	30
0x308D	30
0x308E	30
0x308F	30
0x3090	30
0x3091	30
0x3092	30
0x3093	30
0x309B	30
0x309C	30
0x309D	30
0x309E	30
0x30A1	30
0x30A2	30
0x30A3	30
0x30A4	30
0x30A5	30
0x30A6	30
0x30A7	30
0x30A8	30
0x30A9	30
0x30AA	30
0x30AB	30
0x30AC	30
0x30AD	30
0x30AE	30
0x30AF	30
0x30B0	30
0x30B1	30
0x30B2	30
0x30B3	30
0x30B4	30
0x30B5	30
0x30B6	30
0x30B7	30
0x30B8	30
0x30B9	30
0x30BA	30
0x30BB	30
0x30BC	30
0x30BD	30
0x30BE	30
0x30BF	30
0x30C0	30
0x30C1	30
0x30C2	30
0x30C3	30
0x30C4	30
0x30C5	30
0x30C6	30
0x30C7	30
0x30C8	30
0x30C9	30
0x30CA	30
0x30CB	30
0x30CC	30
0x30CD	30
0x30CE	30
0x30CF	30
0x30D0	30
0x30D1	30
0x30D2	30
0x30D3	30
0x30D4	30
0x30D5	30
0x30D6	30
0x30D7	30
0x30D8	30
0x30D9	30
0x30DA	30
0x30DB	30
0x30DC	30
0x30DD	30
0x30DE	30
0x30DF	30
0x30E0	30
0x30E1	30
0x30E2	30
0x30E3	30
0x30E4	30
0x30E5	30
0x30E6	30
0x30E7	30
0x30E8	30
0x30E9	30
0x30EA	30
0x30EB	30
0x30EC	30
0x30ED	30
0x30EE	30
0x30EF	30
0x30F0	30
0x30F1	30
0x30F2	30
0x30F3	30
0x30F4	30
0x30F5	30
0x30F6	30
0x30FB	30
0x30FC	30
0x30FD	30
0x30FE	30
